movie_id,genres,runtime_minutes,start_year,primary_title,numvotes,averagerating,rating_category
tt0063540,Action,175.0,2013,Sunghursh,77,7.0,Average
tt0066787,Biography,114.0,2019,One Day Before the Rainy Season,43,7.2,Good
tt0069049,Drama,122.0,2018,The Other Side of the Wind,4517,6.9,Average
tt0069204,Comedy,95.0,2018,Sabse Bada Sukh,13,6.1,Average
tt0100275,Comedy,80.0,2017,The Wandering Soap Opera,119,6.5,Average
tt0112502,Horror,95.0,2017,Bigfoot,32,4.1,Average
tt0137204,Adventure,83.0,2017,Joe Finds Grace,263,8.1,Good
tt0146592,Drama,136.0,2010,Pál Adrienn,451,6.8,Average
tt0154039,History,100.0,2010,So Much for Justice!,64,4.6,Average
tt0159369,Documentary,180.0,2013,Cooper and Hemingway: The True Gen,53,7.6,Good
tt0162942,Drama,89.0,2010,Children of the Green Dragon,120,6.9,Average
tt0170651,Documentary,60.0,2018,T.G.M. - osvoboditel,6,7.5,Good
tt0176694,Animation,160.0,2011,The Tragedy of Man,584,7.8,Good
tt0192528,Drama,104.0,2018,Heaven & Hell,72,4.0,Bad
tt0230212,Drama,120.0,2010,The Final Journey,8,8.8,Good
tt0247643,Drama,110.0,2011,Los pájaros se van con la muerte,12,4.0,Bad
tt0249516,Action,91.0,2012,Foodfight!,8248,1.9,Bad
tt0250404,Crime,95.0,2012,Godfather,236,6.7,Average
tt0253093,Drama,134.0,2018,Gangavataran,8,6.6,Average
tt0255820,Biography,75.0,2013,Return to Babylon,123,5.9,Average
tt0262218,Documentary,44.0,2012,Akakis mogzauroba,22,7.8,Good
tt0263814,Drama,95.0,2019,On kadin,100,7.1,Good
tt0276568,Action,97.0,2018,To Chase a Million,5,7.4,Good
tt0277964,Documentary,59.0,2018,Prague: The Restless Heart of Europe,31,7.0,Average
tt0283440,Sci-Fi,45.0,2015,Short Time Heroes,16,6.6,Average
tt0285252,Comedy,100.0,2012,Life's a Beach,219,3.9,Bad
tt0285423,Documentary,95.0,2019,Abolição,35,7.4,Good
tt0293069,Thriller,86.0,2012,Dark Blood,1053,6.6,Average
tt0297400,Crime,95.0,2015,Snowblind,77,6.7,Average
tt0306058,Drama,95.0,2012,Second Coming,20,5.5,Average
tt0312305,Adventure,45.0,2010,Quantum Quest: A Cassini Space Odyssey,287,5.1,Average
tt0315642,Action,103.0,2016,Wazir,15378,7.1,Good
tt0323808,Drama,96.0,2011,The Wicker Tree,2328,3.9,Bad
tt0326592,Drama,88.0,2010,The Overnight,24,7.5,Good
tt0326965,Drama,104.0,2010,In My Sleep,1889,5.5,Average
tt0328810,Drama,102.0,2018,My Land,61,7.9,Good
tt0329539,Adventure,95.0,2014,Rice Girl,73,6.1,Average
tt0330811,Drama,95.0,2011,Regret Not Speaking,10,6.2,Average
tt0330987,Drama,109.0,2014,"Tiden är en dröm, del 2",6,6.3,Average
tt0331312,Comedy,99.0,2010,This Wretched Life,59,7.6,Good
tt0331314,Adventure,84.0,2017,Bunyan and Babe,302,5.0,Average
tt0337692,Adventure,124.0,2012,On the Road,37886,6.1,Average
tt0337882,Comedy,95.0,2010,Blind Sided,14,7.4,Good
tt0337926,Biography,102.0,2015,Chatô - The King of Brazil,558,6.0,Average
tt0339736,Horror,98.0,2017,The Evil Within,2420,5.6,Average
tt0346045,Comedy,101.0,2015,Transeúntes,35,6.7,Average
tt0357717,Drama,95.0,2018,Haar Jeet,9,5.1,Average
tt0359950,Adventure,114.0,2013,The Secret Life of Walter Mitty,275300,7.3,Good
tt0360556,Drama,100.0,2018,Fahrenheit 451,14469,4.9,Average
tt0364201,Action,137.0,2016,Aman Ke Farishtey,16,6.4,Average
tt0365545,Comedy,98.0,2018,Nappily Ever After,6287,6.4,Average
tt0365907,Action,114.0,2014,A Walk Among the Tombstones,105116,6.5,Average
tt0369610,Action,124.0,2015,Jurassic World,539338,7.0,Average
tt0372538,Action,110.0,2011,Spy,78,6.6,Average
tt0376136,Comedy,119.0,2011,The Rum Diary,94787,6.2,Average
